,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2002-05-23,0.252716550820722,-76.11246300689355,70.66844112718907,0.252716550820722,0.252716550820722,-4.750606439568626,-4.750606439568626,-4.750606439568626,-0.010938039845675825,-0.010938039845675825,-0.010938039845675825,-4.739668399722951,-4.739668399722951,-4.739668399722951,0.0,0.0,0.0,-4.497889888747904
1,2002-05-24,0.25527712883615067,-76.23690463153024,69.937219279224,0.25527712883615067,0.25527712883615067,-5.364426199940122,-5.364426199940122,-5.364426199940122,-0.9328388400160071,-0.9328388400160071,-0.9328388400160071,-4.431587359924115,-4.431587359924115,-4.431587359924115,0.0,0.0,0.0,-5.109149071103971
2,2002-05-28,0.2655194408978654,-67.43952913438928,72.65557201737859,0.2655194408978654,0.2655194408978654,-3.4219167156227974,-3.4219167156227974,-3.4219167156227974,-0.0073355175460252,-0.0073355175460252,-0.0073355175460252,-3.4145811980767724,-3.4145811980767724,-3.4145811980767724,0.0,0.0,0.0,-3.156397274724932
3,2002-05-29,0.2680800189132941,-69.99232806451742,66.85785266621059,0.2680800189132941,0.2680800189132941,-3.3403349048457915,-3.3403349048457915,-3.3403349048457915,-0.12239914247152842,-0.12239914247152842,-0.12239914247152842,-3.217935762374263,-3.217935762374263,-3.217935762374263,0.0,0.0,0.0,-3.0722548859324976
4,2002-05-30,0.2706405969287228,-70.10876735160075,69.10531213391207,0.2706405969287228,0.2706405969287228,-3.0542628179632216,-3.0542628179632216,-3.0542628179632216,-0.010938039845051206,-0.010938039845051206,-0.010938039845051206,-3.043324778118171,-3.043324778118171,-3.043324778118171,0.0,0.0,0.0,-2.783622221034499
5,2002-05-31,0.27320117494415147,-77.9428046100316,74.21777848680047,0.27320117494415147,0.27320117494415147,-3.8219153781322963,-3.8219153781322963,-3.8219153781322963,-0.9328388400164865,-0.9328388400164865,-0.9328388400164865,-2.88907653811581,-2.88907653811581,-2.88907653811581,0.0,0.0,0.0,-3.548714203188145
6,2002-06-03,0.2808829089904375,-78.32648933331964,70.49120929904736,0.2808829089904375,0.2808829089904375,-2.39665532872324,-2.39665532872324,-2.39665532872324,0.1268980020869832,0.1268980020869832,0.1268980020869832,-2.5235533308102234,-2.5235533308102234,-2.5235533308102234,0.0,0.0,0.0,-2.1157724197328025
7,2002-06-04,0.2834434870058662,-74.2596961539113,71.50024502011074,0.2834434870058662,0.2834434870058662,-2.4309537577877314,-2.4309537577877314,-2.4309537577877314,-0.0073355175464867445,-0.0073355175464867445,-0.0073355175464867445,-2.423618240241245,-2.423618240241245,-2.423618240241245,0.0,0.0,0.0,-2.147510270781865
8,2002-06-05,0.2860040650212949,-73.42551506347978,69.67609572172815,0.2860040650212949,0.2860040650212949,-2.451013657301942,-2.451013657301942,-2.451013657301942,-0.12239914247353394,-0.12239914247353394,-0.12239914247353394,-2.328614514828408,-2.328614514828408,-2.328614514828408,0.0,0.0,0.0,-2.165009592280647
9,2002-06-06,0.2885646430367236,-72.02138593070303,70.5123061472666,0.2885646430367236,0.2885646430367236,-2.245612183786714,-2.245612183786714,-2.245612183786714,-0.010938039845753818,-0.010938039845753818,-0.010938039845753818,-2.2346741439409596,-2.2346741439409596,-2.2346741439409596,0.0,0.0,0.0,-1.9570475407499903
10,2002-06-07,0.2911252210521522,-77.58984953344118,66.98937935346096,0.2911252210521522,0.2911252210521522,-3.0707409776585126,-3.0707409776585126,-3.0707409776585126,-0.9328388400161945,-0.9328388400161945,-0.9328388400161945,-2.1379021376423175,-2.1379021376423175,-2.1379021376423175,0.0,0.0,0.0,-2.7796157566063604
11,2002-06-10,0.2988069550984383,-72.56880214734991,72.64269751899043,0.2988069550984383,0.2988069550984383,-1.6664490619391423,-1.6664490619391423,-1.6664490619391423,0.12689800208843813,0.12689800208843813,0.12689800208843813,-1.7933470640275806,-1.7933470640275806,-1.7933470640275806,0.0,0.0,0.0,-1.367642106840704
12,2002-06-11,0.301367533113867,-75.48169820484256,72.31080258093654,0.301367533113867,0.301367533113867,-1.6565603235095063,-1.6565603235095063,-1.6565603235095063,-0.007335517547393112,-0.007335517547393112,-0.007335517547393112,-1.6492248059621135,-1.6492248059621135,-1.6492248059621135,0.0,0.0,0.0,-1.3551927903956393
13,2002-06-12,0.3039281111292957,-77.84060545415625,65.85359645017793,0.3039281111292957,0.3039281111292957,-1.6081795563859416,-1.6081795563859416,-1.6081795563859416,-0.12239914247222938,-0.12239914247222938,-0.12239914247222938,-1.4857804139137123,-1.4857804139137123,-1.4857804139137123,0.0,0.0,0.0,-1.3042514452566458
14,2002-06-13,0.3064886891447243,-73.64609706765908,70.77880336182167,0.3064886891447243,0.3064886891447243,-1.3118361441281916,-1.3118361441281916,-1.3118361441281916,-0.010938039846051316,-0.010938039846051316,-0.010938039846051316,-1.3008981042821401,-1.3008981042821401,-1.3008981042821401,0.0,0.0,0.0,-1.0053474549834673
15,2002-06-14,0.309049267160153,-72.94216873214104,74.09984413851542,0.309049267160153,0.309049267160153,-2.0258449867917356,-2.0258449867917356,-2.0258449867917356,-0.9328388400159023,-0.9328388400159023,-0.9328388400159023,-1.0930061467758332,-1.0930061467758332,-1.0930061467758332,0.0,0.0,0.0,-1.7167957196315826
16,2002-06-17,0.3167310012064391,-75.56749227549939,71.57416470084304,0.3167310012064391,0.3167310012064391,-0.19756840193333422,-0.19756840193333422,-0.19756840193333422,0.1268980020886363,0.1268980020886363,0.1268980020886363,-0.3244664040219705,-0.3244664040219705,-0.3244664040219705,0.0,0.0,0.0,0.11916259927310488
