Date,Open,High,Low,Close,Adj Close,Volume
2002-05-20,1.156429,1.242857,1.145714,1.210000,1.210000,115894800
2002-05-27,1.213571,1.232143,1.071429,1.076429,1.076429,31985800
2002-06-03,1.080000,1.232143,1.076429,1.118571,1.118571,11463200
2002-06-10,1.135000,1.188571,0.980000,0.986429,0.986429,10638600
2002-06-17,1.013571,1.059286,0.842143,0.979286,0.979286,29603000
2002-06-24,0.979286,1.018571,0.921429,0.999286,0.999286,22485400
2002-07-01,1.000000,1.299286,0.992857,1.276429,1.276429,20566000
2002-07-08,1.252143,1.280000,1.114286,1.207857,1.207857,11810400
2002-07-15,1.242857,1.248571,1.075714,1.160000,1.160000,12133800
2002-07-22,1.135714,1.213571,0.850000,0.871429,0.871429,18729200
2002-07-29,0.896429,0.960000,0.706429,0.777857,0.777857,21555800
2002-08-05,0.778571,0.821429,0.742857,0.787143,0.787143,13567400
2002-08-12,0.802857,0.924286,0.753571,0.912857,0.912857,12947200
2002-08-19,0.925000,0.999286,0.917857,0.993571,0.993571,12763800
2002-08-26,0.996429,0.996429,0.824286,0.936429,0.936429,14420000
2002-09-02,0.936429,0.963571,0.907857,0.914286,0.914286,3015600
2002-09-09,0.919286,0.976429,0.864286,0.878571,0.878571,12223400
2002-09-16,0.892143,0.892143,0.700000,0.707857,0.707857,16360400
2002-09-23,0.714286,0.784286,0.689286,0.720000,0.720000,19313000
2002-09-30,0.707143,0.721429,0.447143,0.468571,0.468571,36199800
2002-10-07,0.450000,0.528571,0.346429,0.470714,0.470714,53097800
2002-10-14,0.464286,0.735714,0.442857,0.682857,0.682857,47584600
2002-10-21,0.638571,0.685000,0.553571,0.642857,0.642857,26367600
2002-10-28,0.664286,0.707143,0.607143,0.638571,0.638571,12861800
2002-11-04,0.642857,0.702857,0.553571,0.610714,0.610714,19175800
2002-11-11,0.607143,0.653571,0.555714,0.650000,0.650000,8769600
2002-11-18,0.648571,0.800000,0.623571,0.786429,0.786429,63351400
2002-11-25,0.792857,0.796429,0.742857,0.775000,0.775000,8544200
2002-12-02,0.742857,0.864286,0.696429,0.782143,0.782143,22157800
2002-12-09,0.795714,0.928571,0.763571,0.892857,0.892857,16130800
2002-12-16,0.898571,0.927857,0.728571,0.764286,0.764286,25323200
2002-12-23,0.739286,0.760714,0.684286,0.690714,0.690714,14921200
2002-12-30,0.703571,0.900000,0.685714,0.772857,0.772857,28212800
2003-01-06,0.785714,0.907143,0.762143,0.886429,0.886429,21054600
2003-01-13,0.857857,0.956429,0.789286,0.817143,0.817143,40406800
2003-01-20,0.826429,0.905714,0.792857,0.880714,0.880714,23828000
2003-01-27,0.864286,0.946429,0.836429,0.942857,0.942857,19062400
2003-02-03,0.938571,0.941429,0.824286,0.870000,0.870000,17112200
2003-02-10,0.873571,1.020000,0.867857,1.017143,1.017143,32239200
2003-02-17,1.022143,1.125000,1.002857,1.064286,1.064286,23980600
2003-02-24,1.024286,1.228571,0.965000,1.222143,1.222143,55846000
2003-03-03,1.207857,1.220000,1.110000,1.149286,1.149286,33170200
2003-03-10,1.141429,1.210714,1.064286,1.182143,1.182143,28396200
2003-03-17,1.184286,1.406429,1.118571,1.325000,1.325000,76524000
2003-03-24,1.305000,1.595000,1.267857,1.504286,1.504286,96955600
